model,pathway,scenario,region,variables,unit,2020
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsAT,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsMK,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsMD,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsHR,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsXK,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsLU,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsGR,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsIS,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsBA,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsEE,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsSK,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsME,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsLT,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsSI,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsIE,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsBE,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsRS,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsRO,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsNL,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsUA,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsPL,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsFR,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsGB,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsNO,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsCZ,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsMT,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsDK,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsIT,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsLV,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsDE,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsPT,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsFI,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsBY,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsGI,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsAL,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsHU,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|ImportsCH,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityMV|TransformationHVMV,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityMV|SolarPVRoofCommercial,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityMV|Waste,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityLV|TransformationMVLV,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityLV|BatteryChemical,share,
image,SSP2-Base,Business As Usual,AT,Share|ElectricityLV|SolarPVRoofResidential,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|Coal,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|CombinedCycle,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|GasTurbine,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|CogenerationGas,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|Nuclear,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|Oil,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|Geothermal,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|HydroRunofRiver,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|HydroReservoir,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|Biomass,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|Biogas,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|WindOnshore,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|WindOffshore,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|SolarThermal,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|SolarPVOpen,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|Hydrogen,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|BatteryHydro,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|ImportsES,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|ImportsBG,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|ImportsSE,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|ImportsAT,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|ImportsMK,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|ImportsMD,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|ImportsHR,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|ImportsXK,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|ImportsLU,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|ImportsGR,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|ImportsIS,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|ImportsBA,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|ImportsEE,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|ImportsSK,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|ImportsME,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|ImportsLT,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|ImportsSI,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|ImportsIE,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|ImportsBE,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|ImportsRS,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|ImportsRO,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|ImportsNL,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|ImportsUA,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|ImportsPL,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|ImportsFR,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|ImportsGB,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|ImportsNO,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|ImportsCZ,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|ImportsMT,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|ImportsDK,share,
image,SSP2-Base,Business As Usual,MK,Share|ElectricityHV|ImportsIT,share,
