model,pathway,scenario,region,variables,unit,2020,2050
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsIT,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsLV,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsDE,share,0.0035002228440212607,0.003382632737522817
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsPT,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsFI,share,0.0003103034436189066,0.0002998787887874843
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsBY,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsGI,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsAL,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsHU,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsCH,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityMV|TransformationHVMV,share,0.9711286102961192,1.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityMV|SolarPVRoofCommercial,share,0.001221963038942552,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityMV|Waste,share,0.027649426664938293,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityLV|TransformationMVLV,share,0.9951359227347765,1.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityLV|BatteryChemical,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityLV|SolarPVRoofResidential,share,0.004864077265223553,0.0
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|Coal,share,0.013794390971456964,0.0
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|CombinedCycle,share,0.03982937696140798,0.0
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|GasTurbine,share,0.018670020436035193,0.0
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|CogenerationGas,share,0.04875438771313348,0.0
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|Nuclear,share,0.0,0.0
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|Oil,share,3.229579769918869e-05,0.0
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|Geothermal,share,2.0428929838923293e-06,2.1235644917434035e-06
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|HydroRunofRiver,share,0.3327040950034718,0.3458421992623739
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|HydroReservoir,share,0.11091244949988295,0.11529225530036302
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|Biomass,share,0.016474189615296893,0.017124736524689262
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|Biogas,share,0.005828929194656597,0.006059106943074024
