model,pathway,scenario,region,variables,unit,2020,2050
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsHR,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsXK,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsLU,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsGR,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsIS,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsBA,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsEE,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsSK,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsME,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsLT,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsSI,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsIE,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsBE,share,0.0051455847998795,0.0007261792966603
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsRS,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsRO,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsNL,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsUA,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsPL,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsFR,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsGB,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsNO,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsCZ,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsMT,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsDK,share,0.0589680711305313,0.0038916248154481
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsIT,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsLV,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsDE,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsPT,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsFI,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsBY,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsGI,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsAL,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsHU,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsCH,share,0.0,0.0
image,SSP2-Base,Business As Usual,SE,Share|ElectricityMV|TransformationHVMV,share,0.8,0.6024286495654
image,SSP2-Base,Business As Usual,SE,Share|ElectricityMV|SolarPVRoofCommercial,share,0.1,0.2975713504345999
image,SSP2-Base,Business As Usual,SE,Share|ElectricityMV|Waste,share,0.1,0.0999999999999999
image,SSP2-Base,Business As Usual,SE,Share|ElectricityLV|TransformationMVLV,share,0.7974770443005272,0.7390708991247256
image,SSP2-Base,Business As Usual,SE,Share|ElectricityLV|BatteryChemical,share,0.1025229556994727,0.1109291008752743
image,SSP2-Base,Business As Usual,SE,Share|ElectricityLV|SolarPVRoofResidential,share,0.1,0.15
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|Coal,share,0.0373349402129383,0.0039587823789451
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|CombinedCycle,share,0.0021644028253988,0.02130829375035
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|GasTurbine,share,0.1749114248981115,0.0251672062971824
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|CogenerationGas,share,0.021706907588082,0.0381538734007242
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|Nuclear,share,0.0277166976371102,0.0050350941794717
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|Oil,share,0.0818957644086401,0.0047423314587923
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|Geothermal,share,0.0462832249111464,0.0564532926515154
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|HydroRunofRiver,share,0.0208010217542744,0.0577619609556564
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|HydroReservoir,share,0.0265425254375226,0.0179627827702654
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|Biomass,share,0.0413378107182285,0.1304665613561404
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|Biogas,share,0.0124747209831241,0.1188105718258123
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|WindOnshore,share,0.1157156053297093,0.3558293789202583
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|WindOffshore,share,0.0092552512417715,0.0485670080603955
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|SolarThermal,share,0.0235652788485059,0.0172556965865541
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|SolarPVOpen,share,0.0173770398307675,0.0218271370510301
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|Hydrogen,share,0.0609045540214896,0.0190666677009325
image,SSP2-Base,Business As Usual,AT,Share|ElectricityHV|BatteryHydro,share,0.1107467546160348,0.026346534394331
